target,ids,date,flag,user,text,weekday
0,1881102141,2009-05-22 03:36:26-07:00,NO_QUERY,omegatron,"@user Yep, can't get access to the desktop without getting rid of it, and I can't get the thing to boot of the Mac OS 9.0.4 cd either",Friday
0,2048952661,2009-06-05 16:02:53-07:00,NO_QUERY,MardellDavis,how long is it going to take to get an answer? getting seriously stressed out here,Friday
4,1957287777,2009-05-29 00:03:21-07:00,NO_QUERY,metamorphosisss,Okay...Back to job tracking,Friday
4,1960192316,2009-05-29 07:34:18-07:00,NO_QUERY,Lou1510,@user im yours is on! hehehe love it! xxxxx,Friday
4,1964894269,2009-05-29 14:59:09-07:00,NO_QUERY,shaquib,I like the idea of having a big family,Friday
4,2048389995,2009-06-05 15:07:19-07:00,NO_QUERY,ennnaenna,"i'm @user i can't really do anything, but it's fun.",Friday
0,2247499703,2009-06-19 19:11:20-07:00,NO_QUERY,sarannfox,@user my little coin purse that said this economy sucks is lost! someone pickpocketed me in hollister i had so much in there ...,Friday
0,1964685410,2009-05-29 14:38:09-07:00,NO_QUERY,nedia,@user im going to my dance class now,Friday
4,1964734314,2009-05-29 14:43:00-07:00,NO_QUERY,demiwood,@user Hey you're welcome... like the way you change your pic btw... v.clever,Friday
0,2051549555,2009-06-05 22:16:48-07:00,NO_QUERY,Joshontheradio2,I'm on the air and not feeling well.,Friday
4,1962007670,2009-05-29 10:22:47-07:00,NO_QUERY,AAmyHaanson,@user it just took a while.,Friday
4,1957550264,2009-05-29 00:51:18-07:00,NO_QUERY,SamanthaSlade,[http] don't forget goodnight.,Friday
0,2240610728,2009-06-19 09:57:13-07:00,NO_QUERY,Faukes,No letter yet this week... Usually it's come by now.,Friday
0,2048821969,2009-06-05 15:49:56-07:00,NO_QUERY,connster9700,@user I'm sorry to hear about your headache. Rest well and feel better soon.,Friday
4,1963820020,2009-05-29 13:17:54-07:00,NO_QUERY,EmBee20,@user I don't wear nail polish either so I forgive you.,Friday
0,1548314484,2009-04-17 20:36:54-07:00,NO_QUERY,oreocookie18,when i go in urban outfitters i mildly freak out because i want EVERYTHING - but then i realize 3/4 of it looks like shit on me,Friday
0,2238083803,2009-06-19 06:47:55-07:00,NO_QUERY,LindaaxD,@user Yay! I'm so jealous..,Friday
4,1967287526,2009-05-29 19:18:18-07:00,NO_QUERY,KidNovice,"@user mela i know ur a freak, u dont have to write me lol",Friday
4,1880905117,2009-05-22 02:55:18-07:00,NO_QUERY,GMMR,Big win of the day - @user letting us know that @user was on Twitter. Andrew FTW! My favorite Buffy character (um &amp; Willow too,Friday
4,1880857080,2009-05-22 02:45:02-07:00,NO_QUERY,merylpixelmagic,"@user hang in there - will get to your background soon, promise!",Friday
4,1957702073,2009-05-29 01:20:01-07:00,NO_QUERY,evapoortman,Getting a tour of the eye tracking lab today [http],Friday
0,1965532102,2009-05-29 16:05:10-07:00,NO_QUERY,bubblegumneko,"@user Yeah, it's work. It's been busy all day and I'm tired and hungry.",Friday
4,1964195051,2009-05-29 13:52:02-07:00,NO_QUERY,SashaHalima,"&quot;U know 1st date awkwardness? Twitter is just like that. But the more you hang out 2gether, more comfortable u become&quot; (via @user)",Friday
4,1966268188,2009-05-29 17:26:52-07:00,NO_QUERY,kimanie14,Nothing else exists when art does - Me,Friday
4,1966802928,2009-05-29 18:25:41-07:00,NO_QUERY,macmaxxx,"playing badugi freeroll on pokerstars....man, thats really a gamble...but i like it",Friday
0,1969409691,2009-05-29 23:57:09-07:00,NO_QUERY,hollyhalvorsen,Called my momma in aid of an emotional crisis. We're onna go out for a late-night snack. Sad friday's almost over,Friday
0,1960139893,2009-05-29 07:29:15-07:00,NO_QUERY,bufyluver5,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working...",Friday
0,2235783932,2009-06-19 02:03:58-07:00,NO_QUERY,MrTweetALot,#IranElection Khamenei is so full of crap Freedom of speech my ass.....,Friday
0,2243322528,2009-06-19 13:18:10-07:00,NO_QUERY,xBlueEyes2x,@user Arghhhhhh msn being stupid and wont let me sign in :@ will keep trying though LoveYouuu xxx,Friday
0,1882200928,2009-05-22 06:25:46-07:00,NO_QUERY,lesliejam,Hoping to see a time soon when I don't have to answer the question what kind of pain is it? Dull or throbbing.....sigh,Friday
4,1548527841,2009-04-17 21:12:13-07:00,NO_QUERY,crazybeauty86,@user Thank you so much!!,Friday
0,2234931040,2009-06-19 00:03:20-07:00,NO_QUERY,missyosigirl,@user i has donuts! but how to give them to you?,Friday
4,2052074681,2009-06-05 23:35:10-07:00,NO_QUERY,rizwandean,Green tea,Friday
0,2235885902,2009-06-19 02:19:10-07:00,NO_QUERY,x_Darcey831_x,"@user yes u haveeeeee! near Bath, awesome! but i cant go which means it'll actually be absolutely rubbishhhhh!!",Friday
4,1962592051,2009-05-29 11:17:10-07:00,NO_QUERY,Rachel_410,@user Thanks for tweeting the New Moon clip link ! OME! I'm watching it over and over and over....,Friday
4,2044896628,2009-06-05 09:57:46-07:00,NO_QUERY,HiImShauna,@user @user you guys entertain me. keep tweeting.,Friday
0,2240793027,2009-06-19 10:10:09-07:00,NO_QUERY,monzica,"@user im so jealous i want to see it! Its taping, dont get the channel here getting a Mcds too hehe",Friday
4,1883116556,2009-05-22 08:02:05-07:00,NO_QUERY,NerdimusPrime,@user Have a good trip and lots of fun in Chicago.,Friday
0,1960382852,2009-05-29 07:52:37-07:00,NO_QUERY,nancy1053,"We need to remodel the house and the thoughts of doing it make me kind of ill He has one way and I have anouther, I just want to move. !",Friday
4,2048514392,2009-06-05 15:19:27-07:00,NO_QUERY,KristenKBarnett,"Looking forward to the weekend! Celebrating mom's bday, a little scrapbooking, quality time w/my hubby and babies Does it get any better?",Friday
4,2047966663,2009-06-05 14:27:19-07:00,NO_QUERY,mrsxkevxjay,"My computer crashed, but you could still check out my youtube. youtube.com/dRamatica1376",Friday
0,2250109652,2009-06-19 23:43:34-07:00,NO_QUERY,liannaaa,phone needs to be repaired maybe,Friday
0,2247829056,2009-06-19 19:41:16-07:00,NO_QUERY,SmittySmiff,@user awe man. I got so excited.,Friday
4,1676031358,2009-05-01 20:55:27-07:00,NO_QUERY,Scottiejmurray,Eatin brekky at a bite to eat yummy in my tummy,Friday
0,2051308693,2009-06-05 21:36:16-07:00,NO_QUERY,Dani_Van_S,"I don't know if my heads gonna explode or cave in on itself. Either way, not good.",Friday
0,2246126949,2009-06-19 17:07:57-07:00,NO_QUERY,allisonwills,"@user oh no you didnt not,your poor hair haha",Friday
0,2243289811,2009-06-19 13:15:40-07:00,NO_QUERY,JamesBarronFOX4,"...and as fate would have it, I'm having major voice issue but the show must go on!",Friday
0,2240521935,2009-06-19 09:50:47-07:00,NO_QUERY,haselwand,@user I wish it did! It doesn't include half of them. LOVE YOU!,Friday
0,1967335228,2009-05-29 19:23:36-07:00,NO_QUERY,_magic8ball,@user My sources say no,Friday
4,1882798663,2009-05-22 07:30:17-07:00,NO_QUERY,Bookworm,"@user Thanks, Mike!",Friday
4,1967494194,2009-05-29 19:41:02-07:00,NO_QUERY,philphenomenonx,Is going to watch up,Friday
0,2248846484,2009-06-19 21:16:57-07:00,NO_QUERY,DJTHEFUNNY,Chilling with my cat. I miss my girl and get come to sonic my aunt is rasing money for breast cancer text for details.!,Friday
0,1963710302,2009-05-29 13:07:54-07:00,NO_QUERY,lovelyaiko,My last full day of even day classes. I'm a little sad,Friday
4,1880400327,2009-05-22 01:06:19-07:00,NO_QUERY,craigrhoward,@user If you're going to bbq on gas you may aswell be cooking inside! where's the challenge if you know the food will cook properly?,Friday
4,1960591791,2009-05-29 08:12:10-07:00,NO_QUERY,Funkypotato,3 more exams to go. Easypeasy. ENGLAND HERE I COME! 10/13,Friday
4,1961765638,2009-05-29 10:00:39-07:00,NO_QUERY,muhr,now you're there,Friday
4,1969377445,2009-05-29 23:50:45-07:00,NO_QUERY,limers,"@user English, Filipino, and Japanese. hahaha! I can't curse in any other language hahaha",Friday
0,1882693845,2009-05-22 07:19:28-07:00,NO_QUERY,Hollie_Ainslie,Is in hospital,Friday
4,1964706513,2009-05-29 14:40:14-07:00,NO_QUERY,mintedscott,@user season 5 of ghost whisperer? do tell,Friday
0,1961891984,2009-05-29 10:12:07-07:00,NO_QUERY,RLKeane,wants this summer to actually have some sun in it,Friday
4,2051562096,2009-06-05 22:18:20-07:00,NO_QUERY,zerohitwonder,"David Sedaris loved my hair He asked what the style was called and I didn't have a name for it, so he dubbed it &quot;The Plexus&quot;.",Friday
0,1881524754,2009-05-22 04:53:55-07:00,NO_QUERY,mikeyfuzz,About to head off to a beach campsite and no t or internet til Sunday,Friday
4,1881338101,2009-05-22 04:21:59-07:00,NO_QUERY,kricket_rc234,"@user heyy yes, i'm here",Friday
0,2048262450,2009-06-05 14:55:16-07:00,NO_QUERY,Nanu_oh,I'm cold Nothing better than a hot coffee and watch movies!,Friday
0,2247395300,2009-06-19 19:02:00-07:00,NO_QUERY,drea510,oh my gosh! cant believe it's barely 7! today is going by SO slooooooow!!!!!,Friday
0,1967466256,2009-05-29 19:37:57-07:00,NO_QUERY,j007,Bored out of my gourd. If you're bored then you're boring?,Friday
0,1881485449,2009-05-22 04:47:42-07:00,NO_QUERY,lizyrose,Rounders was awesome! One more eam! But it is physics!,Friday
0,1960448602,2009-05-29 07:58:54-07:00,NO_QUERY,beccabreu,"is just waking up.. not very impressed with my sleep or my dreams. today is going to be a sucky day, I can feel it",Friday
4,1960478635,2009-05-29 08:01:41-07:00,NO_QUERY,giazzpet,"if at first you don't get what you want, keep trying....or think of another avenue first - me",Friday
4,1962486542,2009-05-29 11:07:13-07:00,NO_QUERY,Christina_Sal,Date 3 tonight! 2 CAN PLAY THAT GAME; WAIT &amp;&amp; SEE! ITS NOT ON UR TIME ITS ON MINE &amp; I RUN THIS!!! ? Ready to go to the Lake tonight!!,Friday
0,2051464354,2009-06-05 22:05:29-07:00,NO_QUERY,ainebegonia,after an hour of maintenance(sp???) Twitter is being flaky for me.,Friday
0,2249325399,2009-06-19 22:07:19-07:00,NO_QUERY,Crockettsgirl,Trying to go to sleep I miss the hubby shoulda had him come to Ohio,Friday
4,1962867926,2009-05-29 11:49:36-07:00,NO_QUERY,CC_Cassin,@user {{{{{{huggsss}}}}} you,Friday
0,1880976957,2009-05-22 03:10:09-07:00,NO_QUERY,_emmajane_,"@user I watched another film with zach in last wkend, The Last Kiss, but found it boring though",Friday
0,2244702857,2009-06-19 15:06:02-07:00,NO_QUERY,thefatlosskid,IM+ is shit. Keeps losing my Tweets. Gonna stick w/ Tweetie 4 now. On the train to &amp;other boring Sat at work,Friday
4,2044407196,2009-06-05 09:18:48-07:00,NO_QUERY,Doc_Remy,@user 'Over there' is absolutely messy! See your smile is soooooo refreshing to me...,Friday
4,1881168565,2009-05-22 03:49:44-07:00,NO_QUERY,ananelson,yay! mathnet reference in XKCD!,Friday
4,2050207484,2009-06-05 18:15:32-07:00,NO_QUERY,frankparker,"@user Me! In the gutter! Never! LOL ;-) Go get some sleep then, im going soon",Friday
0,2043922002,2009-06-05 08:36:39-07:00,NO_QUERY,Rachana,my throat hurts sooo much,Friday
0,1963278132,2009-05-29 12:28:55-07:00,NO_QUERY,asholigee,my phone is dead and my charger is miles away.. @user i'll talk to you in august,Friday
4,1964063377,2009-05-29 13:40:07-07:00,NO_QUERY,KitaCupcake,just chilling on twitter,Friday
0,2243644651,2009-06-19 13:42:53-07:00,NO_QUERY,missdiva27,About to start me shift.....bleh!!!!,Friday
0,2247391981,2009-06-19 19:01:42-07:00,NO_QUERY,theKT,"why are they dating?? now they're ALL taken,, i won't have a chance at the concert this is so heart-breaking!",Friday
0,1880963764,2009-05-22 03:07:19-07:00,NO_QUERY,james_gough,i hate people in the northern hemisphere! summer holidays for those losers,Friday
0,2243073188,2009-06-19 12:59:33-07:00,NO_QUERY,stfudemo,nearly KO-ed at work. the word anemic keeps being thrown around,Friday
0,1969161371,2009-05-29 23:11:48-07:00,NO_QUERY,joliramos,want that 2 happen. God give me grace n strength to make it idk how else to say i w/o getting emotional...yuck,Friday
0,1968879225,2009-05-29 22:26:40-07:00,NO_QUERY,alixt,"Panic attacks are painful for me, my chest hurts",Friday
0,2247572217,2009-06-19 19:17:53-07:00,NO_QUERY,amytranxo,should have tooken the weekend off still not fully recovered,Friday
4,2044465053,2009-06-05 09:23:53-07:00,NO_QUERY,anthonyjohnston,@user I see what you did there .. Very good ! x x x,Friday
4,1881130090,2009-05-22 03:42:05-07:00,NO_QUERY,rodet,@user wasnt I the guy with the pocket calculator? ... thanks for letting me discover @user though,Friday
4,1548319011,2009-04-17 20:37:37-07:00,NO_QUERY,bynjaimyn,So in love...,Friday
4,1880533902,2009-05-22 01:35:06-07:00,NO_QUERY,michaelonabike,"work is fun! (runs away) such a nice sunshiney day, hope it stays like this",Friday
0,1880208286,2009-05-22 00:27:11-07:00,NO_QUERY,tysrn,I can't believe final exam is next week! I don't even remember the subject on 1st semester,Friday
4,1967117385,2009-05-29 19:00:18-07:00,NO_QUERY,BJoie,"@user ohhmmmm,, Come back heah... ohmmmmm",Friday
4,1963114767,2009-05-29 12:13:32-07:00,NO_QUERY,TheHighRoad,@user whew. almost changed my perception of you. Now I can put you back on the pedestal.,Friday
4,1676483231,2009-05-01 22:10:48-07:00,NO_QUERY,marathonmaritza,@user good. I keep telling everyone I know. We all do it and I don't want any of you to learn the lesson like I did.,Friday
0,2051800172,2009-06-05 22:50:35-07:00,NO_QUERY,Yuleineeee,Jamming to Carrie Underwood &amp; Rascal Flatts in the car with the girls. On our way home! P.S; &quot;Land of the Lost -SUCKED.&quot; I didn't like it,Friday
4,2048391709,2009-06-05 15:07:28-07:00,NO_QUERY,midsomerlover,@user Because it aired already I can get BBC 1 and 2 on my television. And Hugh was brilliant! :p,Friday
4,2050773367,2009-06-05 19:16:01-07:00,NO_QUERY,dwsmillionthhug,@user [http] - Yeah... come to St. Louis... and Memphis... and Houston... @user,Friday
0,1967043408,2009-05-29 18:52:13-07:00,NO_QUERY,PunkieDory,where the f are my pinking shears? rarararrrarararr...babyproofing while cutting stuff makes me stick shears random places &amp; forget them,Friday
0,1957756631,2009-05-29 01:30:41-07:00,NO_QUERY,btudor,@user You've got to love fly tippers: [http] Worst I've seen is a dead mule dumped on Holmbury Hill.,Friday
0,2239791688,2009-06-19 08:58:22-07:00,NO_QUERY,Ainmer,@user Ugh...,Friday
4,2046726639,2009-06-05 12:36:09-07:00,NO_QUERY,BizarroBytes,"@user No bugs, eh? Better stay away from my story &quot;Parasite.&quot;",Friday
4,2047988413,2009-06-05 14:29:21-07:00,NO_QUERY,Abbie_xD,@user I personally think you look amazing and back up what you are saying 100%,Friday
4,2052106587,2009-06-05 23:40:53-07:00,NO_QUERY,Vanellita,@user daaaaani congraaaatulaaaatiooons q fiino! Q emocioon jajaja es lo maximo qndo le dicen a uno q you have been accepted,Friday
0,2237191086,2009-06-19 05:21:22-07:00,NO_QUERY,lizkerr4sure,Fuck work. I just wanna sleep,Friday
4,2048801879,2009-06-05 15:47:53-07:00,NO_QUERY,VenusetSerena,Another day of intense running and tennis... hopefully it all pays off womens final in the morning Safina vs. Kuznetsova! Go Sveta!!!!,Friday
0,1957522630,2009-05-29 00:46:04-07:00,NO_QUERY,rachellylove,im very sorry.,Friday
0,1880228300,2009-05-22 00:31:13-07:00,NO_QUERY,Lizziebeth2586,laying here awake... should be sleeping... but i miss my love,Friday
0,2046398455,2009-06-05 12:07:19-07:00,NO_QUERY,VikkSyn,@user Pullin a Cardo on a b.tch. What's been uppp.,Friday
4,2049028133,2009-06-05 16:10:21-07:00,NO_QUERY,sakuraphoto,"@user i have house fever big time, just not sure what we can afford, or if we'll even qualify for anything",Friday
4,2045708470,2009-06-05 11:07:13-07:00,NO_QUERY,D_AMAZIN,wake up in the morning turn on music choice and what comes on...MICHAEL JACKSON BAD!!!!!!! this was the cut tho when i was a lil kid lol,Friday
4,2051802221,2009-06-05 22:50:54-07:00,NO_QUERY,coolakool7,Minneapolis tomorrow and Australia on Tuesday yay i love life,Friday
0,2245668083,2009-06-19 16:27:59-07:00,NO_QUERY,NateLewis,I have (4) $100 Amex gift cards -- want a Kindle but AMZ does not take multiple cards at once. Booooo -- not sure what to do with these,Friday
4,2051842538,2009-06-05 22:56:59-07:00,NO_QUERY,tweeteradder6,@user Get 100 followers a day using [http] Once you add everyone you are on the train or pay vip,Friday
0,2240139470,2009-06-19 09:23:14-07:00,NO_QUERY,D5quared,Just had blood drawn. Apparently I have bad veins. My Dr. is a bitch. My arm hurts,Friday
4,1966114026,2009-05-29 17:09:02-07:00,NO_QUERY,xSummerLovinx,@user I like your Twitter pic!,Friday
0,1966593771,2009-05-29 18:03:03-07:00,NO_QUERY,katshimmers,@user pretty crap! looks like i'm going to have to move out of balcatta,Friday
0,1881255121,2009-05-22 04:06:31-07:00,NO_QUERY,EvenInArcadia,@user Same here... Poor show!!,Friday
0,1962733435,2009-05-29 11:33:31-07:00,NO_QUERY,BadPC,"My guitar ain't herew yet?, feel like i lost a limb!.",Friday
0,2051442804,2009-06-05 22:01:58-07:00,NO_QUERY,wtfitzsoyummiee,"anxious! hope my grades stay the same and raise! hope geometry have more extra credits, 2 pts away from an A!! i want tht A",Friday
0,2246203126,2009-06-19 17:14:43-07:00,NO_QUERY,princesssrox,becuz of the before we had before the last day of school my bangs have a permanent green highlight dang my mothers gonna kill me,Friday
4,2046682446,2009-06-05 12:32:17-07:00,NO_QUERY,PortDiscovery,Thinking of booking a school/group trip to Port Discovery? Contact Kristie Guilick in our Group Sales Dept. at 410.864.2664,Friday
4,1882303642,2009-05-22 06:37:33-07:00,NO_QUERY,classimami,@user aww thanks boo,Friday
0,2245007878,2009-06-19 15:31:30-07:00,NO_QUERY,xxJaviJav,watching nascar qualifying in sonoma. gahhh I wanna be there,Friday
4,1966672984,2009-05-29 18:11:22-07:00,NO_QUERY,Halleybug36,listening to paranoid... nick makes me smile BUTTERFLIEZZZ,Friday
0,2238154752,2009-06-19 06:53:56-07:00,NO_QUERY,firecracker35,"Ok, so the job market sucks big time out there! 2 family members laid off in the last 2 weeks. Let me know if you have any admin jobs.",Friday
0,2044026726,2009-06-05 08:45:46-07:00,NO_QUERY,minglemaddie,i've tried my best for not thinking damn much. but its still spinning on my head. anyone reveal insomnia potion pls,Friday
0,2234920989,2009-06-19 00:02:03-07:00,NO_QUERY,IslanderBri,i'm wide awake with nothing to do. ugh!,Friday
4,2046196131,2009-06-05 11:49:55-07:00,NO_QUERY,rachelmahoney,wanna babysit tonight?,Friday
4,1960192831,2009-05-29 07:34:21-07:00,NO_QUERY,starsweeper,"Watching The Office before work. &quot;No, Rose, they are not breathing. And they have no arms or legs.&quot; haha",Friday
0,1882191859,2009-05-22 06:24:44-07:00,NO_QUERY,Jayme1988,@user Good you feel well. I am good thanks. just waiting for the end of work,Friday
0,1965980697,2009-05-29 16:54:05-07:00,NO_QUERY,joshg85,"ugh gone through 2 new phones and now my screen is black, which means no texting",Friday
4,1676222041,2009-05-01 21:25:34-07:00,NO_QUERY,clara018,I'm about to be finish with this story! ha! I'll gonna post it soon,Friday
0,1961243505,2009-05-29 09:12:08-07:00,NO_QUERY,DonnaWilliams85,extremely bored.,Friday
4,2048349307,2009-06-05 15:03:30-07:00,NO_QUERY,CedricDiggory,"Sitting in Mike's apartment while he's at work with Shelbz, Emz, Steph, and Chez Going to Shane's soon",Friday
4,1883094142,2009-05-22 07:59:58-07:00,NO_QUERY,pinky_dink82,"Going to use the Dwight (the Office US) method of looking busy, typing his name over and over and over again",Friday
0,1676590196,2009-05-01 22:30:55-07:00,NO_QUERY,tuffasnuts,attempting to get PCTV working on Vista Premium. The out of the box install failed.,Friday
0,2239592018,2009-06-19 08:43:52-07:00,NO_QUERY,SylvieSOfasho,Ughhh I could have slept in but I'm soo used to waking up early. Work at 10,Friday
4,1880936050,2009-05-22 03:01:33-07:00,NO_QUERY,lisabjerre,"@user Social media savvy youngsters know how to tweet smart If they don't, they're not cut out for it?",Friday
4,1880848657,2009-05-22 02:43:16-07:00,NO_QUERY,andyenglish,"Last day of this illustration job... seems to be moving nicely but, as usual, I have saved the trickiest until last. Before that, a map",Friday
0,1969142870,2009-05-29 23:08:42-07:00,NO_QUERY,ultraterry,@user its gonna take foreverrrr,Friday
0,1966043399,2009-05-29 17:01:05-07:00,NO_QUERY,t_petrillo,Homework &amp; Study Guides,Friday
0,2045284454,2009-06-05 10:30:16-07:00,NO_QUERY,MilanChristophr,@user goodmorning misster although I'm mad at you!,Friday
0,2247327426,2009-06-19 18:56:01-07:00,NO_QUERY,kingscorpio09,@user Noooo im gonna goo OJ on that chick lol. Nah have fun at the awards,Friday
4,1966114878,2009-05-29 17:09:07-07:00,NO_QUERY,reikifurbabies,@user Thanks That is her &quot;crunchy&quot; kittie,Friday
0,1963131303,2009-05-29 12:15:05-07:00,NO_QUERY,gabiigarcia,my hair won't turn whiiite,Friday
4,1957740979,2009-05-29 01:27:43-07:00,NO_QUERY,SenjaParkkinen,is going shopping today,Friday
4,1881230821,2009-05-22 04:01:53-07:00,NO_QUERY,cjs_3,Give to Charities ........Refer Friends ........ Then Earn.......... Come Join Me [http],Friday
4,2047571021,2009-06-05 13:51:07-07:00,NO_QUERY,THE_TOPIC,"@user i'll tell you whats up Rich just joined twitter, lol ...I see you still looking as fine as you did @ st. john's what's good V?",Friday
4,1883432859,2009-05-22 08:32:36-07:00,NO_QUERY,kellypuffs,@user: absolutely! Happy vacation!,Friday
0,1957524173,2009-05-29 00:46:21-07:00,NO_QUERY,biglime,"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again.",Friday
0,2051452301,2009-06-05 22:03:30-07:00,NO_QUERY,mzsonia,Boy! Twitter really not like'in me right now.,Friday
4,1880830575,2009-05-22 02:39:29-07:00,NO_QUERY,ChellyBum,yayyay getaway and amity next weekend,Friday
0,2243378221,2009-06-19 13:22:26-07:00,NO_QUERY,aggiieee,30stm playin at london tommorow &amp; only london in england,Friday
0,2247196320,2009-06-19 18:44:03-07:00,NO_QUERY,Rockin_Robyn,"Monster migraine all day- meds not working, might as well be popping candy.",Friday
4,1957394055,2009-05-29 00:21:54-07:00,NO_QUERY,rtirado,@user I bet it was...,Friday
0,2239370649,2009-06-19 08:27:40-07:00,NO_QUERY,Serescobar,@user: well have fun call me when u get a change,Friday
0,2049536637,2009-06-05 17:03:14-07:00,NO_QUERY,dropdeadcaveman,I miss my xbox 360,Friday
4,1548284813,2009-04-17 20:32:10-07:00,NO_QUERY,DanteSephiroth,I'm thinking of you. [http],Friday
0,2049702086,2009-06-05 17:20:47-07:00,NO_QUERY,GreenEyedGrin,@user,Friday
0,1880173440,2009-05-22 00:20:09-07:00,NO_QUERY,Asilady,Anyone else feel alone tonight,Friday
4,1968317485,2009-05-29 21:11:28-07:00,NO_QUERY,treewatcher21,"@user yeah,that's true !",Friday
4,2047703361,2009-06-05 14:03:02-07:00,NO_QUERY,lizzyv12,.... ditching.....,Friday
4,2050528535,2009-06-05 18:49:56-07:00,NO_QUERY,Sh3G4,"The good thing is tha today is FRIDAY!! And that means, is weekend!! And thereÂ´s no school! Yayyyy!",Friday
0,2045260887,2009-06-05 10:28:15-07:00,NO_QUERY,familychoice,"@user I'm so fed up with this site, it's taken ten times longer to build and worst of all it's a freebie",Friday
0,2050947345,2009-06-05 19:34:58-07:00,NO_QUERY,feathersong,"@user yeah, I'm catching up on tweets and saw it's been a day to forget for you, so sorry",Friday
4,1961004215,2009-05-29 08:50:22-07:00,NO_QUERY,SedonaClarke,[http] - The Best movie i have seen in my life! 3D Made it alot better,Friday
0,2248806891,2009-06-19 21:12:56-07:00,NO_QUERY,imsobakedrtnow,gonna ATTEMPT to fall asleep..this shall be funnnn,Friday
0,1966568172,2009-05-29 18:00:21-07:00,NO_QUERY,lonemat,@user i want teddys to love me,Friday
0,2245949331,2009-06-19 16:52:33-07:00,NO_QUERY,rhaay,@user eu sempre tenho vou te add no heybroccoli!,Friday
0,2248138607,2009-06-19 20:09:40-07:00,NO_QUERY,susiegirltellem,Last night in California.,Friday
0,1965477238,2009-05-29 15:59:31-07:00,NO_QUERY,luduhkris,too bad i'm @ work ...,Friday
0,2249190560,2009-06-19 21:52:52-07:00,NO_QUERY,ohbernbern,@user aw I missed you! I had to work,Friday
4,1676065801,2009-05-01 21:00:40-07:00,NO_QUERY,nkotbblockhead,@user good knight don't tink! ;P,Friday
0,2046723350,2009-06-05 12:35:52-07:00,NO_QUERY,nicole328,@user what song? I'm at lunch,Friday
0,2244347480,2009-06-19 14:37:42-07:00,NO_QUERY,bratt,@user sorry to hear that. hope it gets better.,Friday
4,1957467663,2009-05-29 00:35:37-07:00,NO_QUERY,perfectdeath,Congrats Gerard and Lindsey! You guys are gonna make AMAZING parents!,Friday
4,2051250112,2009-06-05 21:20:05-07:00,NO_QUERY,jproudfo,"Really feel like an American tonight... Drove 15 mins and was in line for 20 mins for a free donut. The economics seem wrong, somehow.",Friday
0,1967165275,2009-05-29 19:05:25-07:00,NO_QUERY,kellyske,"took a nap with Micah just now and I'm still exhausted...Might resort to coffee...wait no, it's too late in the day for coffee",Friday
4,1966373728,2009-05-29 17:38:55-07:00,NO_QUERY,Money_all_day,"@user ROFL! For real, the Hills, Harlem Heights,Charm School,etc. etc. aint got nothing on what could be!!! But soon-trust &amp; believe!",Friday
4,1966764595,2009-05-29 18:21:27-07:00,NO_QUERY,sjaydacapricorn,"Okay denver let's do this, let's win this game please. Happy b day by the way melo",Friday
4,1882248137,2009-05-22 06:31:14-07:00,NO_QUERY,DarkPiano,"@user Hey there, Catrina! Happy Friday.",Friday
