passage_id,chapter,section,subsection,page,text,heading_path,kind,text_clean,word_count,nn,nn_sim,x,y,cluster,cluster_name,cluster_short,words,phrases
p0011,Part 1: General Information,Who We Are,(no subsection),12,"Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",Part 1: General Information > Who We Are,prose,"Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",138,p0007 p0009 p0066 p0001 p0022,0.746 0.727 0.721 0.719 0.716,2.7542543,2.0521796,7,Institutional & Transfer Credit,Transfer Credit,"facilities, classroom, meeting, campus, areas, kunshan, pursuit, individually, metropolitan, manufacturing, economies, suzhou","student faculty, metropolitan areas, course materials, allow students, students work, kunshan university, duke kunshan, writing papers, writing short, writing skills, writing speaking, writing stories"
p0012,Part 1: General Information,Partners,Duke University,12,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.",Part 1: General Information > Partners > Duke University,prose,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs.",66,p0261 p0013 p0007 p0061 p0118,0.714 0.703 0.667 0.616 0.612,2.8663478,2.728566,7,Institutional & Transfer Credit,Transfer Credit,"engineering, professional, graduate, duke, arts, roots, undergraduate, traces, private, officially, comprehensive, medicine","graduate professional, research university, arts sciences, undergraduate graduate, university duke, liberal arts, duke university, public policy, writing papers, writing short, writing skills, writing speaking"
p0013,Part 1: General Information,Partners,Duke University,12,"Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",Part 1: General Information > Partners > Duke University,prose,"Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",80,p0012 p0066 p0007 p0261 p0011,0.703 0.694 0.658 0.639 0.631,2.7854111,2.462694,7,Institutional & Transfer Credit,Transfer Credit,"durham, duke, programs, singapore, nearly, percent, active, mission, globe, numerous, advance, north","service society, knowledge service, kunshan university, duke kunshan, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral"
p0014,Part 1: General Information,Partners,Wuhan University,12,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",Part 1: General Information > Partners > Wuhan University,prose,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",94,p0007 p0008 p0005 p1368 p0010,0.557 0.488 0.474 0.455 0.450,2.9310603,2.257858,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,"wuhan, country, national, qing, founded, blend, university, regarded, dynasty, buildings, province, styles","wuhan university, ministry education, eastern western, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, written texts, world war"
p0015,Part 1: General Information,Partners,Wuhan University,13,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",Part 1: General Information > Partners > Wuhan University,prose,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",41,p0005 p0114 p0066 p0057 p0039,0.567 0.530 0.515 0.513 0.497,3.3296983,2.455331,1,"Advanced Placement, Credit & Electives",AP & Electives,"academy, partnerships, alumni, regions, universities, members, engineering, chinese, countries, includes, research, science","ability communicate, ability disciplinary, ability read, ability write, able speak, abroad program, absence personal, absence university, abstract algebra, abstract concepts, academic advising, academic advisor"
p0016,Part 1: General Information,Partners,Kunshan,13,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",Part 1: General Information > Partners > Kunshan,prose,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",167,p0011 p0066 p0076 p0022 p0007,0.530 0.506 0.485 0.476 0.466,2.9141846,2.2683737,7,Institutional & Transfer Credit,Transfer Credit,"city, national, model, china, kunshan, singapore, metropolitan, winner, residents, excellent, honor, greater","metropolitan areas, jiangsu province, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war"
p0017,Part 1: General Information,Partners,Kunshan,13,"Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",Part 1: General Information > Partners > Kunshan,prose,"Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",56,p0280 p0284 p1093 p0986 p0941,0.538 0.487 0.484 0.482 0.479,2.9474616,1.5229682,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,"theatre, kunqu, oldest, origin, culturally, heritage, evolved, ultimately, figures, kunshan, significant, home","ability communicate, ability disciplinary, ability read, ability write, able speak, abroad program, absence personal, absence university, abstract algebra, abstract concepts, academic advising, academic advisor"
p0018,Part 1: General Information,Duke Kunshan University Community Standard,(no subsection),13,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",Part 1: General Information > Duke Kunshan University Community Standard,prose,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",136,p0006 p0001 p0298 p0066 p0099,0.799 0.775 0.754 0.746 0.733,2.4391031,2.3390362,7,Institutional & Transfer Credit,Transfer Credit,"endeavors, honesty, fairness, integrity, standards, hold, highest, respect, community, responsibility, cultures, principles","responsibility academic, student expected, members community, community standard, university community, kunshan university, duke kunshan, university students, students required, writing papers, writing short, writing skills"
p0019,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,(no subsection),14,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",Part 2: A Liberal Arts Education at Duke Kunshan University > A 21st Century Curriculum,prose,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",119,p0008 p0022 p0009 p0024 p0005,0.848 0.831 0.807 0.807 0.806,2.8921664,1.9282694,7,Institutional & Transfer Credit,Transfer Credit,"engagement, duke, points, education, deepen, simultaneously, gives, orientation, base, learning, kind, problem-solving","team-based learning, problem-solving skills, learning opportunities, interdisciplinary approaches, opportunities students, kunshan university, duke kunshan, critical thinking, liberal arts, apply flexibly, writing papers, writing short"
p0020,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,(no subsection),14,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.",Part 2: A Liberal Arts Education at Duke Kunshan University > A Liberal Arts College Experience,prose,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.",153,p0024 p0005 p0022 p0254 p0019,0.773 0.751 0.728 0.726 0.725,2.8561478,1.8290431,7,Institutional & Transfer Credit,Transfer Credit,"liberal, offers, opportunities, university, arts, duke, research, united, kunshan, states, provide, one-on-one","liberal arts, kunshan university, duke kunshan, united states, provide opportunities, research university, wuhan university, undergraduate curriculum, university duke, faculty students, writing short, writing skills"
p0021,Part 2: A Liberal Arts Education at Duke Kunshan University,Dual Degrees,(no subsection),14,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,Part 2: A Liberal Arts Education at Duke Kunshan University > Dual Degrees,prose,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,92,p0056 p0118 p0057 p0007 p0212,0.868 0.793 0.785 0.782 0.773,3.3654544,3.2574542,7,Institutional & Transfer Credit,Transfer Credit,"duke, university, diploma, kunshan, requirements, accordance, accredited, moe, certificate, alumni, fulfill, successfully","university duke, duke university, requirements duke, kunshan university, duke kunshan, students successfully, degrees students, graduation certificate, students alumni, course study, university students, writing papers"
